Samples,stress,time
mock.0h.1,Abio_mock,0h
mock.0h.2,Abio_mock,0h
mock.0h.3,Abio_mock,0h
mock.3h.1,Abio_mock,3h
mock.3h.2,Abio_mock,3h
mock.3h.3,Abio_mock,3h
mock.6h.1,Abio_mock,6h
mock.6h.2,Abio_mock,6h
mock.6h.3,Abio_mock,6h
mock.12h.1,Abio_mock,12h
mock.12h.2,Abio_mock,12h
mock.12h.3,Abio_mock,12h
mock.24h.1,Abio_mock,24h
mock.24h.2,Abio_mock,24h
mock.24h.3,Abio_mock,24h
mock.72h.1,Abio_mock,72h
mock.72h.2,Abio_mock,72h
mock.72h.3,Abio_mock,72h
cold.3h.1,Cold,3h
cold.3h.2,Cold,3h
cold.3h.3,Cold,3h
cold.6h.1,Cold,6h
cold.6h.2,Cold,6h
cold.6h.3,Cold,6h
cold.12h.1,Cold,12h
cold.12h.2,Cold,12h
cold.12h.3,Cold,12h
cold.24h.1,Cold,24h
cold.24h.2,Cold,24h
cold.24h.3,Cold,24h
cold.72h.1,Cold,72h
cold.72h.2,Cold,72h
cold.72h.3,Cold,72h
heat.3h.1,Heat,3h
heat.3h.2,Heat,3h
heat.3h.3,Heat,3h
heat.6h.1,Heat,6h
heat.6h.2,Heat,6h
heat.6h.3,Heat,6h
heat.12h.1,Heat,12h
heat.12h.2,Heat,12h
heat.12h.3,Heat,12h
heat.24h.1,Heat,24h
heat.24h.2,Heat,24h
heat.24h.3,Heat,24h
heat.72h.1,Heat,72h
heat.72h.2,Heat,72h
heat.72h.3,Heat,72h
NaCl.3h.1,NaCl,3h
NaCl.3h.2,NaCl,3h
NaCl.3h.3,NaCl,3h
NaCl.6h.1,NaCl,6h
NaCl.6h.2,NaCl,6h
NaCl.6h.3,NaCl,6h
NaCl.12h.1,NaCl,12h
NaCl.12h.2,NaCl,12h
NaCl.12h.3,NaCl,12h
NaCl.24h.1,NaCl,24h
NaCl.24h.2,NaCl,24h
NaCl.24h.3,NaCl,24h
NaCl.72h.1,NaCl,72h
NaCl.72h.2,NaCl,72h
NaCl.72h.3,NaCl,72h
man.3h.1,Mannitol,3h
man.3h.2,Mannitol,3h
man.3h.3,Mannitol,3h
man.6h.1,Mannitol,6h
man.6h.2,Mannitol,6h
man.6h.3,Mannitol,6h
man.12h.1,Mannitol,12h
man.12h.2,Mannitol,12h
man.12h.3,Mannitol,12h
man.24h.1,Mannitol,24h
man.24h.2,Mannitol,24h
man.24h.3,Mannitol,24h
man.72h.1,Mannitol,72h
man.72h.2,Mannitol,72h
man.72h.3,Mannitol,72h
